period,respondent,respondent-name,type,type-name
2026-05-31T00,SOCO,"Southern Company Services, Inc. - Trans",D,Demand
2026-05-31T00,SOCO,"Southern Company Services, Inc. - Trans",DF,Day-ahead demand forecast
2026-05-31T00,SOCO,"Southern Company Services, Inc. - Trans",NG,Net generation
2026-05-31T00,SOCO,"Southern Company Services, Inc. - Trans",TI,Total interchange
2026-05-30T23,SOCO,"Southern Company Services, Inc. - Trans",D,Demand
2026-05-30T23,SOCO,"Southern Company Services, Inc. - Trans",DF,Day-ahead demand forecast
2026-05-30T23,SOCO,"Southern Company Services, Inc. - Trans",NG,Net generation
2026-05-30T23,SOCO,"Southern Company Services, Inc. - Trans",TI,Total interchange
2026-05-30T22,SOCO,"Southern Company Services, Inc. - Trans",D,Demand
2026-05-30T22,SOCO,"Southern Company Services, Inc. - Trans",DF,Day-ahead demand forecast
2026-05-30T22,SOCO,"Southern Company Services, Inc. - Trans",NG,Net generation
