period,respondent,respondent-name,type,type-name
2026-05-27T21,SOCO,"Southern Company Services, Inc. - Trans",NG,Net generation
2026-05-27T21,SOCO,"Southern Company Services, Inc. - Trans",TI,Total interchange
2026-05-27T20,SOCO,"Southern Company Services, Inc. - Trans",D,Demand
2026-05-27T20,SOCO,"Southern Company Services, Inc. - Trans",DF,Day-ahead demand forecast
2026-05-27T20,SOCO,"Southern Company Services, Inc. - Trans",NG,Net generation
2026-05-27T20,SOCO,"Southern Company Services, Inc. - Trans",TI,Total interchange
2026-05-27T19,SOCO,"Southern Company Services, Inc. - Trans",D,Demand
2026-05-27T19,SOCO,"Southern Company Services, Inc. - Trans",DF,Day-ahead demand forecast
2026-05-27T19,SOCO,"Southern Company Services, Inc. - Trans",NG,Net generation
2026-05-27T19,SOCO,"Southern Company Services, Inc. - Trans",TI,Total interchange
2026-05-27T18,SOCO,"Southern Company Services, Inc. - Trans",D,Demand
2026-05-27T18,SOCO,"Southern Company Services, Inc. - Trans",DF,Day-ahead demand forecast
2026-05-27T18,SOCO,"Southern Company Services, Inc. - Trans",NG,Net generation
2026-05-27T18,SOCO,"Southern Company Services, Inc. - Trans",TI,Total interchange
2026-05-27T17,SOCO,"Southern Company Services, Inc. - Trans",D,Demand
2026-05-27T17,SOCO,"Southern Company Services, Inc. - Trans",DF,Day-ahead demand forecast
2026-05-27T17,SOCO,"Southern Company Services, Inc. - Trans",NG,Net generation
2026-05-27T17,SOCO,"Southern Company Services, Inc. - Trans",TI,Total interchange
2026-05-27T16,SOCO,"Southern Company Services, Inc. - Trans",D,Demand
2026-05-27T16,SOCO,"Southern Company Services, Inc. - Trans",DF,Day-ahead demand forecast
2026-05-27T16,SOCO,"Southern Company Services, Inc. - Trans",NG,Net generation
2026-05-27T16,SOCO,"Southern Company Services, Inc. - Trans",TI,Total interchange
2026-05-27T15,SOCO,"Southern Company Services, Inc. - Trans",D,Demand
2026-05-27T15,SOCO,"Southern Company Services, Inc. - Trans",DF,Day-ahead demand forecast
2026-05-27T15,SOCO,"Southern Company Services, Inc. - Trans",NG,Net generation
2026-05-27T15,SOCO,"Southern Company Services, Inc. - Trans",TI,Total interchange
2026-05-27T14,SOCO,"Southern Company Services, Inc. - Trans",D,Demand
2026-05-27T14,SOCO,"Southern Company Services, Inc. - Trans",DF,Day-ahead demand forecast
2026-05-27T14,SOCO,"Southern Company Services, Inc. - Trans",NG,Net generation
2026-05-27T14,SOCO,"Southern Company Services, Inc. - Trans",TI,Total interchange
2026-05-27T13,SOCO,"Southern Company Services, Inc. - Trans",D,Demand
2026-05-27T13,SOCO,"Southern Company Services, Inc. - Trans",DF,Day-ahead demand forecast
2026-05-27T13,SOCO,"Southern Company Services, Inc. - Trans",NG,Net generation
2026-05-27T13,SOCO,"Southern Company Services, Inc. - Trans",TI,Total interchange
2026-05-27T12,SOCO,"Southern Company Services, Inc. - Trans",D,Demand
2026-05-27T12,SOCO,"Southern Company Services, Inc. - Trans",DF,Day-ahead demand forecast
2026-05-27T12,SOCO,"Southern Company Services, Inc. - Trans",NG,Net generation
2026-05-27T12,SOCO,"Southern Company Services, Inc. - Trans",TI,Total interchange
2026-05-27T11,SOCO,"Southern Company Services, Inc. - Trans",D,Demand
2026-05-27T11,SOCO,"Southern Company Services, Inc. - Trans",DF,Day-ahead demand forecast
2026-05-27T11,SOCO,"Southern Company Services, Inc. - Trans",NG,Net generation
2026-05-27T11,SOCO,"Southern Company Services, Inc. - Trans",TI,Total interchange
2026-05-27T10,SOCO,"Southern Company Services, Inc. - Trans",D,Demand
2026-05-27T10,SOCO,"Southern Company Services, Inc. - Trans",DF,Day-ahead demand forecast
2026-05-27T10,SOCO,"Southern Company Services, Inc. - Trans",NG,Net generation
2026-05-27T10,SOCO,"Southern Company Services, Inc. - Trans",TI,Total interchange
2026-05-27T09,SOCO,"Southern Company Services, Inc. - Trans",D,Demand
2026-05-27T09,SOCO,"Southern Company Services, Inc. - Trans",DF,Day-ahead demand forecast
2026-05-27T09,SOCO,"Southern Company Services, Inc. - Trans",NG,Net generation
2026-05-27T09,SOCO,"Southern Company Services, Inc. - Trans",TI,Total interchange
2026-05-27T08,SOCO,"Southern Company Services, Inc. - Trans",D,Demand
2026-05-27T08,SOCO,"Southern Company Services, Inc. - Trans",DF,Day-ahead demand forecast
2026-05-27T08,SOCO,"Southern Company Services, Inc. - Trans",NG,Net generation
2026-05-27T08,SOCO,"Southern Company Services, Inc. - Trans",TI,Total interchange
2026-05-27T07,SOCO,"Southern Company Services, Inc. - Trans",D,Demand
2026-05-27T07,SOCO,"Southern Company Services, Inc. - Trans",DF,Day-ahead demand forecast
2026-05-27T07,SOCO,"Southern Company Services, Inc. - Trans",NG,Net generation
2026-05-27T07,SOCO,"Southern Company Services, Inc. - Trans",TI,Total interchange
2026-05-27T06,SOCO,"Southern Company Services, Inc. - Trans",D,Demand
2026-05-27T06,SOCO,"Southern Company Services, Inc. - Trans",DF,Day-ahead demand forecast
2026-05-27T06,SOCO,"Southern Company Services, Inc. - Trans",NG,Net generation
2026-05-27T06,SOCO,"Southern Company Services, Inc. - Trans",TI,Total interchange
2026-05-27T05,SOCO,"Southern Company Services, Inc. - Trans",D,Demand
2026-05-27T05,SOCO,"Southern Company Services, Inc. - Trans",DF,Day-ahead demand forecast
2026-05-27T05,SOCO,"Southern Company Services, Inc. - Trans",NG,Net generation
2026-05-27T05,SOCO,"Southern Company Services, Inc. - Trans",TI,Total interchange
2026-05-27T04,SOCO,"Southern Company Services, Inc. - Trans",D,Demand
2026-05-27T04,SOCO,"Southern Company Services, Inc. - Trans",DF,Day-ahead demand forecast
2026-05-27T04,SOCO,"Southern Company Services, Inc. - Trans",NG,Net generation
2026-05-27T04,SOCO,"Southern Company Services, Inc. - Trans",TI,Total interchange
2026-05-27T03,SOCO,"Southern Company Services, Inc. - Trans",D,Demand
2026-05-27T03,SOCO,"Southern Company Services, Inc. - Trans",DF,Day-ahead demand forecast
2026-05-27T03,SOCO,"Southern Company Services, Inc. - Trans",NG,Net generation
2026-05-27T03,SOCO,"Southern Company Services, Inc. - Trans",TI,Total interchange
2026-05-27T02,SOCO,"Southern Company Services, Inc. - Trans",D,Demand
2026-05-27T02,SOCO,"Southern Company Services, Inc. - Trans",DF,Day-ahead demand forecast
2026-05-27T02,SOCO,"Southern Company Services, Inc. - Trans",NG,Net generation
2026-05-27T02,SOCO,"Southern Company Services, Inc. - Trans",TI,Total interchange
2026-05-27T01,SOCO,"Southern Company Services, Inc. - Trans",D,Demand
2026-05-27T01,SOCO,"Southern Company Services, Inc. - Trans",DF,Day-ahead demand forecast
2026-05-27T01,SOCO,"Southern Company Services, Inc. - Trans",NG,Net generation
2026-05-27T01,SOCO,"Southern Company Services, Inc. - Trans",TI,Total interchange
2026-05-27T00,SOCO,"Southern Company Services, Inc. - Trans",D,Demand
2026-05-27T00,SOCO,"Southern Company Services, Inc. - Trans",DF,Day-ahead demand forecast
2026-05-27T00,SOCO,"Southern Company Services, Inc. - Trans",NG,Net generation
2026-05-27T00,SOCO,"Southern Company Services, Inc. - Trans",TI,Total interchange
2026-05-26T23,SOCO,"Southern Company Services, Inc. - Trans",D,Demand
2026-05-26T23,SOCO,"Southern Company Services, Inc. - Trans",DF,Day-ahead demand forecast
2026-05-26T23,SOCO,"Southern Company Services, Inc. - Trans",NG,Net generation
2026-05-26T23,SOCO,"Southern Company Services, Inc. - Trans",TI,Total interchange
2026-05-26T22,SOCO,"Southern Company Services, Inc. - Trans",D,Demand
2026-05-26T22,SOCO,"Southern Company Services, Inc. - Trans",DF,Day-ahead demand forecast
2026-05-26T22,SOCO,"Southern Company Services, Inc. - Trans",NG,Net generation
2026-05-26T22,SOCO,"Southern Company Services, Inc. - Trans",TI,Total interchange
2026-05-26T21,SOCO,"Southern Company Services, Inc. - Trans",D,Demand
2026-05-26T21,SOCO,"Southern Company Services, Inc. - Trans",DF,Day-ahead demand forecast
2026-05-26T21,SOCO,"Southern Company Services, Inc. - Trans",NG,Net generation
2026-05-26T21,SOCO,"Southern Company Services, Inc. - Trans",TI,Total interchange
2026-05-26T20,SOCO,"Southern Company Services, Inc. - Trans",D,Demand
2026-05-26T20,SOCO,"Southern Company Services, Inc. - Trans",DF,Day-ahead demand forecast
2026-05-26T20,SOCO,"Southern Company Services, Inc. - Trans",NG,Net generation
2026-05-26T20,SOCO,"Southern Company Services, Inc. - Trans",TI,Total interchange
2026-05-26T19,SOCO,"Southern Company Services, Inc. - Trans",D,Demand
2026-05-26T19,SOCO,"Southern Company Services, Inc. - Trans",DF,Day-ahead demand forecast
2026-05-26T19,SOCO,"Southern Company Services, Inc. - Trans",NG,Net generation
2026-05-26T19,SOCO,"Southern Company Services, Inc. - Trans",TI,Total interchange
2026-05-26T18,SOCO,"Southern Company Services, Inc. - Trans",D,Demand
2026-05-26T18,SOCO,"Southern Company Services, Inc. - Trans",DF,Day-ahead demand forecast
2026-05-26T18,SOCO,"Southern Company Services, Inc. - Trans",NG,Net generation
2026-05-26T18,SOCO,"Southern Company Services, Inc. - Trans",TI,Total interchange
2026-05-26T17,SOCO,"Southern Company Services, Inc. - Trans",D,Demand
2026-05-26T17,SOCO,"Southern Company Services, Inc. - Trans",DF,Day-ahead demand forecast
2026-05-26T17,SOCO,"Southern Company Services, Inc. - Trans",NG,Net generation
2026-05-26T17,SOCO,"Southern Company Services, Inc. - Trans",TI,Total interchange
2026-05-26T16,SOCO,"Southern Company Services, Inc. - Trans",D,Demand
2026-05-26T16,SOCO,"Southern Company Services, Inc. - Trans",DF,Day-ahead demand forecast
2026-05-26T16,SOCO,"Southern Company Services, Inc. - Trans",NG,Net generation
2026-05-26T16,SOCO,"Southern Company Services, Inc. - Trans",TI,Total interchange
2026-05-26T15,SOCO,"Southern Company Services, Inc. - Trans",D,Demand
2026-05-26T15,SOCO,"Southern Company Services, Inc. - Trans",DF,Day-ahead demand forecast
2026-05-26T15,SOCO,"Southern Company Services, Inc. - Trans",NG,Net generation
2026-05-26T15,SOCO,"Southern Company Services, Inc. - Trans",TI,Total interchange
2026-05-26T14,SOCO,"Southern Company Services, Inc. - Trans",D,Demand
2026-05-26T14,SOCO,"Southern Company Services, Inc. - Trans",DF,Day-ahead demand forecast
2026-05-26T14,SOCO,"Southern Company Services, Inc. - Trans",NG,Net generation
2026-05-26T14,SOCO,"Southern Company Services, Inc. - Trans",TI,Total interchange
2026-05-26T13,SOCO,"Southern Company Services, Inc. - Trans",D,Demand
2026-05-26T13,SOCO,"Southern Company Services, Inc. - Trans",DF,Day-ahead demand forecast
2026-05-26T13,SOCO,"Southern Company Services, Inc. - Trans",NG,Net generation
2026-05-26T13,SOCO,"Southern Company Services, Inc. - Trans",TI,Total interchange
2026-05-26T12,SOCO,"Southern Company Services, Inc. - Trans",D,Demand
2026-05-26T12,SOCO,"Southern Company Services, Inc. - Trans",DF,Day-ahead demand forecast
2026-05-26T12,SOCO,"Southern Company Services, Inc. - Trans",NG,Net generation
2026-05-26T12,SOCO,"Southern Company Services, Inc. - Trans",TI,Total interchange
2026-05-26T11,SOCO,"Southern Company Services, Inc. - Trans",D,Demand
2026-05-26T11,SOCO,"Southern Company Services, Inc. - Trans",DF,Day-ahead demand forecast
2026-05-26T11,SOCO,"Southern Company Services, Inc. - Trans",NG,Net generation
2026-05-26T11,SOCO,"Southern Company Services, Inc. - Trans",TI,Total interchange
2026-05-26T10,SOCO,"Southern Company Services, Inc. - Trans",D,Demand
2026-05-26T10,SOCO,"Southern Company Services, Inc. - Trans",DF,Day-ahead demand forecast
